NAME, IMAGE-URL
Nickit, https://cdn.bulbagarden.net/upload/2/22/827Nickit.png
Rookidee, https://cdn.bulbagarden.net/upload/7/79/821Rookidee.png
Skwovet, https://cdn.bulbagarden.net/upload/c/ce/819Skwovet.png
Wooloo, https://cdn.bulbagarden.net/upload/thumb/1/1f/831Wooloo.png/250px-831Wooloo.png
Blipbug, https://cdn.bulbagarden.net/upload/4/4c/824Blipbug.png
Caterpie, https://cdn.bulbagarden.net/upload/thumb/5/5d/010Caterpie.png/250px-010Caterpie.png
Grubbin, https://cdn.bulbagarden.net/upload/thumb/1/14/736Grubbin.png/250px-736Grubbin.png
Hoothoot, https://img.pokemondb.net/artwork/large/hoothoot.jpg
Chewtle, https://cdn.bulbagarden.net/upload/thumb/2/22/833Chewtle.png/250px-833Chewtle.png
Yamper, https://cdn.bulbagarden.net/upload/thumb/6/63/835Yamper.png/1200px-835Yamper.png
Zigzagoon, https://oyster.ignimgs.com/mediawiki/apis.ign.com/pokemon-switch/b/bb/GalarianZigzagoon.jpg
Arrokuda, https://cdn.bulbagarden.net/upload/a/a9/846Arrokuda.png
Magikarp, https://cdn.bulbagarden.net/upload/thumb/0/02/129Magikarp.png/250px-129Magikarp.png
Lotad, https://cdn.bulbagarden.net/upload/e/ee/270Lotad.png
Purrloin, https://cdn.bulbagarden.net/upload/thumb/4/46/509Purrloin.png/1200px-509Purrloin.png
Seedot, https://cdn.bulbagarden.net/upload/8/84/273Seedot.png
Gossifleur, https://cdn.bulbagarden.net/upload/thumb/4/4c/829Gossifleur.png/1200px-829Gossifleur.png
Stunky, https://cdn.bulbagarden.net/upload/thumb/7/75/434Stunky.png/1200px-434Stunky.png
Trubbish, https://cdn.bulbagarden.net/upload/thumb/e/e2/568Trubbish.png/1200px-568Trubbish.png
Tyrogue, https://cdn.bulbagarden.net/upload/thumb/c/c7/236Tyrogue.png/1200px-236Tyrogue.png
Vulpix, https://cdn.bulbagarden.net/upload/thumb/6/60/037Vulpix.png/1200px-037Vulpix.png
Cherubi, https://cdn.bulbagarden.net/upload/a/a7/420Cherubi.png
Klink, https://cdn.bulbagarden.net/upload/thumb/e/ea/599Klink.png/1200px-599Klink.png
Machop, https://cdn.bulbagarden.net/upload/8/85/066Machop.png
Mudbray, https://img.pokemondb.net/artwork/large/mudbray.jpg
Pancham, https://cdn.bulbagarden.net/upload/thumb/1/1c/674Pancham.png/250px-674Pancham.png
Sizzlipede, https://cdn.bulbagarden.net/upload/f/f2/850Sizzlipede.png
Rolycoly, https://cdn.bulbagarden.net/upload/thumb/a/a1/837Rolycoly.png/1200px-837Rolycoly.png
Lombre, https://cdn.bulbagarden.net/upload/8/8b/271Lombre.png
Nuzleaf, https://cdn.bulbagarden.net/upload/0/07/274Nuzleaf.png
Ralts, https://cdn.bulbagarden.net/upload/e/e1/280Ralts.png
Budew, https://cdn.bulbagarden.net/upload/thumb/d/d3/406Budew.png/1200px-406Budew.png
Baltoy, https://cdn.bulbagarden.net/upload/8/8b/343Baltoy.png
Bunnelby, https://cdn.bulbagarden.net/upload/thumb/7/70/659Bunnelby.png/1200px-659Bunnelby.png
Oddish, https://cdn.bulbagarden.net/upload/4/43/043Oddish.png
Bounsweet, https://cdn.bulbagarden.net/upload/thumb/a/a1/761Bounsweet.png/1200px-761Bounsweet.png
Stufful, https://cdn.bulbagarden.net/upload/thumb/e/e5/759Stufful.png/1200px-759Stufful.png
Tympole, https://img.pokemondb.net/artwork/large/tympole.jpg
Golett, https://cdn.bulbagarden.net/upload/a/ac/622Golett.png
Delibird, https://cdn.bulbagarden.net/upload/thumb/3/3f/225Delibird.png/1200px-225Delibird.png
Snorunt, https://cdn.bulbagarden.net/upload/6/6b/361Snorunt.png
Snover, https://img.pokemondb.net/artwork/large/snover.jpg
Vanillite, https://cdn.bulbagarden.net/upload/thumb/3/3f/582Vanillite.png/1200px-582Vanillite.png
Electrike, https://cdn.bulbagarden.net/upload/thumb/4/47/309Electrike.png/250px-309Electrike.png
Joltik, https://cdn.bulbagarden.net/upload/thumb/f/f8/595Joltik.png/1200px-595Joltik.png
Eevee,https://cdn.bulbagarden.net/upload/thumb/e/e2/133Eevee.png/250px-133Eevee.png
Meowth, https://www.serebii.net/pokemon/art/052-g.png
Pikachu, https://images-na.ssl-images-amazon.com/images/I/61iWqqcq%2BKL._AC_SL1500_.jpg
Pumpkaboo, https://cdn.bulbagarden.net/upload/d/df/710Pumpkaboo.png
Goldeen, https://cdn.bulbagarden.net/upload/7/7b/118Goldeen.png
Cutiefly, https://img.pokemondb.net/artwork/large/cutiefly.jpg
Ferroseed, https://cdn.bulbagarden.net/upload/thumb/2/28/597Ferroseed.png/1200px-597Ferroseed.png
Milcery, https://cdn.bulbagarden.net/upload/0/05/868Milcery.png
Drifloon, https://cdn.bulbagarden.net/upload/e/eb/425Drifloon.png
Farfetch'd, https://www.serebii.net/pokemon/art/083-g.png
Minccino, https://cdn.bulbagarden.net/upload/thumb/e/ec/572Minccino.png/1200px-572Minccino.png
Spritzee, https://cdn.bulbagarden.net/upload/thumb/6/66/682Spritzee.png/1200px-682Spritzee.png
Swirlix, https://img.pokemondb.net/artwork/large/swirlix.jpg
Wobbuffet, https://cdn.bulbagarden.net/upload/thumb/1/17/202Wobbuffet.png/1200px-202Wobbuffet.png
Applin, https://cdn.bulbagarden.net/upload/c/cc/840Applin.png
Dewpider, https://cdn.bulbagarden.net/upload/2/29/751Dewpider.png
Dottler, https://cdn.bulbagarden.net/upload/9/95/825Dottler.png
Espurr, https://cdn.bulbagarden.net/upload/0/09/677Espurr.png
Nincada, https://cdn.bulbagarden.net/upload/9/90/290Nincada.png
Axew, https://cdn.bulbagarden.net/upload/thumb/5/5c/610Axew.png/1200px-610Axew.png
Dugtrio, https://img.pokemondb.net/artwork/large/dugtrio.jpg
Helioptile, https://cdn.bulbagarden.net/upload/thumb/5/51/694Helioptile.png/250px-694Helioptile.png
Maractus, https://cdn.bulbagarden.net/upload/thumb/3/35/556Maractus.png/250px-556Maractus.png
Trapinch, https://cdn.bulbagarden.net/upload/7/76/328Trapinch.png
Yamask, https://www.serebii.net/pokemon/art/562-g.png
Drednaw, https://cdn.bulbagarden.net/upload/thumb/b/be/834Drednaw.png/1200px-834Drednaw.png
Greedent, https://cdn.bulbagarden.net/upload/6/6b/820Greedent.png
Durant, https://cdn.bulbagarden.net/upload/1/1a/632Durant.png
Duskull, https://img.pokemondb.net/artwork/large/duskull.jpg
Heatmor, https://cdn.bulbagarden.net/upload/b/b0/631Heatmor.png
Hippopotas, https://cdn.bulbagarden.net/upload/thumb/a/ab/449Hippopotas.png/250px-449Hippopotas.png
Silicobra, https://cdn.bulbagarden.net/upload/b/b5/843Silicobra.png
Skorupi, https://cdn.bulbagarden.net/upload/4/47/451Skorupi.png
Torkoal, https://cdn.bulbagarden.net/upload/3/3b/324Torkoal.png
Galvantula, https://cdn.bulbagarden.net/upload/thumb/7/7a/596Galvantula.png/1200px-596Galvantula.png
Inkay, https://cdn.bulbagarden.net/upload/thumb/7/70/686Inkay.png/1200px-686Inkay.png
Liepard, https://cdn.bulbagarden.net/upload/thumb/0/09/510Liepard.png/1200px-510Liepard.png
Morpeko, https://cdn.bulbagarden.net/upload/thumb/d/df/877Morpeko-Full.png/1200px-877Morpeko-Full.png
Perrserker, https://cdn.bulbagarden.net/upload/e/e0/863Perrserker.png
Thievul, https://cdn.bulbagarden.net/upload/e/e7/828Thievul.png
Corviknight, https://img.pokemondb.net/artwork/large/corviknight.jpg
Karrablast, https://cdn.bulbagarden.net/upload/thumb/6/60/588Karrablast.png/1200px-588Karrablast.png
Meowstic M, https://img.pokemondb.net/artwork/large/meowstic-male.jpg
Meowstic F, https://img.pokemondb.net/artwork/large/meowstic-female.jpg
Seismitoad, https://img.pokemondb.net/artwork/large/seismitoad.jpg
Shelmet, https://img.pokemondb.net/artwork/large/shelmet.jpg
Toxel, https://cdn.bulbagarden.net/upload/d/d5/848Toxel.png
Boldore, https://cdn.bulbagarden.net/upload/thumb/c/ce/525Boldore.png/1200px-525Boldore.png
Gurdurr, https://cdn.bulbagarden.net/upload/thumb/a/ad/533Gurdurr.png/250px-533Gurdurr.png
Lunatone, https://cdn.bulbagarden.net/upload/e/eb/337Lunatone.png
Pawniard, https://cdn.bulbagarden.net/upload/9/9c/624Pawniard.png
Rufflet, https://cdn.bulbagarden.net/upload/thumb/b/bb/627Rufflet.png/250px-627Rufflet.png
Solrock, https://cdn.bulbagarden.net/upload/9/90/338Solrock.png
Togedemaru, https://img.pokemondb.net/artwork/large/togedemaru.jpg
Vullaby, https://cdn.bulbagarden.net/upload/f/f2/629Vullaby.png
Bronzong,
Drapion,
Falinks,
Haunter,
Hippowdon,
Rhyhorn,
Sandaconda,
Gastrodon,
Jellicent,
Mareanie,
Pelipper,
Pyukumuku,
Octillery,
Wishiwashi,
Mantyke,
Qwilfish,
Cramorant,
Kingler,
Pincurchin,
Cubchoo,
Duraludon,
Mr. Mime, https://www.serebii.net/pokemon/art/122-g.png
Sneasel,
Abomasnow,
Beartic,
Darumaka,https://img.pokemondb.net/artwork/large/darumaka-galarian.jpg
Eiscue,
Snom,
Stonjourner,
Vanillish,
Gyarados,
Bewear,
Claydol,
Drifblim,
Diggersby,
Munna,
Unfezant,
Crustle,
Mudsdale,
Steenee,
Gloom,
Machoke,
Roselia,
Crawdaunt,
Charjabug,
Manectric,
Lanturn,
Elgyem,
Noibat,
Woobat,
Litwick,
Palpitoad,
Togepi,
Cufant,
Carkol,
Tranquill,
Shellos,
Barraskewda,
Duosion,
Gothorita,
Sableye,
Braviary,
Mandibuzz,
Togekiss,
Eldegoss,
Gardevoir,
Hattrem,
Drilbur,
Growlithe,
Coalossal,
Stunfisk,https://gamepress.gg/pokemongo/sites/pokemongo/files/2020-04/618_f2.png
Croagunk,
Koffing,
Scraggy,
Dubwool,
Hitmonchan,
Hitmonlee,
Barbaracle,
Shuckle,
Sudowoodo,
Piloswine,
Mawile,
Ferrothorn,
Boltund,
Shellder,
Butterfree,
Pidove,
Frillish,
Wingull,
Onix,
Dwebble,
Chinchou,
Diglett,
Roggenrola,
Timburr,
Binacle,
Wimpod,
Barboach,
Corphish,
Krabby,
Clefairy,
Gothita,
Linoone,https://www.serebii.net/pokemon/art/264-g.png
Noctowl,
Solosis,
Rhydon,
Quagsire,
Riolu,
Morelull,
Natu,
Impidimp,
Mimikyu,
Excadrill,
Corsola,https://www.serebii.net/pokemon/art/222-g.png
Sawk,
Throh,
Cloyster,
Gastly,
Bronzor,
Xatu,
Wooper,
Swinub,
Indeedee M,
Indeedee F,
Morgrem,
Oranguru,
Passimian,
Phantump,
Ponyta, https://oyster.ignimgs.com/mediawiki/apis.ign.com/pokemon-switch/a/a7/GalarianPonyta.jpg
Shiinotic,
Sinistea,
Honedge,
Hawlucha,
Basculin,
Ditto,
Drakloak,
Golurk,
Gothitelle,
Hatterene,
Reuniclus,
Mantine,
Dreepy,
Arcanine,
Flygon,
Lampent,
Ninetales,
Jangmo-o,
Larvitar,
Turtonator,
Beheeyem,
Sigilyph,
Obstagoon,
Orbeetle,
Garbodor,
Hitmontop,
Weezing, https://www.serebii.net/pokemon/art/110-g.png
Pangoro,
Araquanid,
Golisopod,
Rotom,
Deino,
Goomy,
Pupitar,
Zweilous,
Bergmite,
Glalie,
Vanilluxe,
Bisharp,
Copperajah,
Klinklang,
Doublade,
Haxorus,
Noivern,
Drampa,
Sliggoo,
Metapod,
Combee,
Salandit,
Ninjask,
Ribombee,
Cottonee,
Bonsly,
Remoraid,