NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL
10,1,101,Caterpie,Bug,,Green,Shield Dust,,Run Away,1,0,0,0.3,2.9,45,30,35,20,20,45,195
11,1,111,Metapod,Bug,,Green,Shed Skin,,,1,0,0,0.7,9.9,50,20,55,25,25,30,205
12,1,121,Butterfree,Bug,Flying,White,Compound Eyes,,Tinted Lens,1,0,0,1.1,32,60,45,50,90,80,70,395
25,1,251,Pikachu,Electric,,Yellow,Static,,Lightning Rod,1,0,0,0.4,6,35,55,40,50,50,90,320
35,1,351,Clefairy,Fairy,,Pink,Cute Charm,Magic Guard,Friend Guard,1,0,0,0.6,7.5,70,45,48,60,65,35,323
37,1,371,Vulpix,Fire,,Brown,Flash Fire,,Drought,1,0,0,0.6,9.9,38,41,40,50,65,65,299
38,1,381,Ninetales,Fire,,Yellow,Flash Fire,,Drought,1,0,0,1.1,19.9,73,76,75,81,100,100,505
43,1,431,Oddish,Grass,Poison,Blue,Chlorophyll,,Run Away,1,0,0,0.5,5.4,45,50,55,75,65,30,320
44,1,441,Gloom,Grass,Poison,Blue,Chlorophyll,,Stench,1,0,0,0.8,8.6,60,65,70,85,75,40,395
50,1,501,Diglett,Ground,,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.2,0.8,10,55,25,35,45,95,265
51,1,511,Dugtrio,Ground,,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.7,33.3,35,100,50,50,70,120,425
52,1,521,Meowth,Normal,,Yellow,Pickup,Technician,Unnerve,1,0,0,0.4,4.2,40,45,35,40,40,90,290
58,1,581,Growlithe,Fire,,Brown,Intimidate,Flash Fire,Justified,1,0,0,0.7,19,55,70,45,70,50,60,350
59,1,591,Arcanine,Fire,,Brown,Intimidate,Flash Fire,Justified,1,0,0,1.9,155,90,110,80,100,80,95,555
66,1,661,Machop,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,0.8,19.5,70,80,50,35,35,35,305
67,1,671,Machoke,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,1.5,70.5,80,100,70,50,60,45,405
77,1,771,Ponyta,Fire,,Yellow,Run Away,Flash Fire,Flame Body,1,0,0,1,30,50,85,55,65,65,90,410
83,1,831,Farfetch'd,Normal,Flying,Brown,Keen Eye,Inner Focus,Defiant,1,0,0,0.8,15,52,90,55,58,62,60,377
90,1,901,Shellder,Water,,Purple,Shell Armor,Skill Link,Overcoat,1,0,0,0.3,4,30,65,100,45,25,40,305
91,1,911,Cloyster,Water,Ice,Purple,Shell Armor,Skill Link,Overcoat,1,0,0,1.5,132.5,50,95,180,85,45,70,525
92,1,921,Gastly,Ghost,Poison,Purple,Levitate,,,1,0,0,1.3,0.1,30,35,30,100,35,80,310
93,1,931,Haunter,Ghost,Poison,Purple,Levitate,,,1,0,0,1.6,0.1,45,50,45,115,55,95,405
95,1,951,Onix,Rock,Ground,Grey,Rock Head,Sturdy,Weak Armor,1,0,0,8.8,210,35,45,160,30,45,70,385
98,1,981,Krabby,Water,,Red,Hyper Cutter,Shell Armor,Sheer Force,1,0,0,0.4,6.5,30,105,90,25,25,50,325
99,1,991,Kingler,Water,,Red,Hyper Cutter,Shell Armor,Sheer Force,1,0,0,1.3,60,55,130,115,50,50,75,475
106,1,1061,Hitmonlee,Fighting,,Brown,Limber,Reckless,Unburden,1,0,0,1.5,49.8,50,120,53,35,110,87,455
107,1,1071,Hitmonchan,Fighting,,Brown,Keen Eye,Iron Fist,Inner Focus,1,0,0,1.4,50.2,50,105,79,35,110,76,455
109,1,1091,Koffing,Poison,,Purple,Levitate,Neutralizing Gas,Stench,1,0,0,0.6,1,40,65,95,60,45,35,340
110,1,1101,Weezing,Poison,,Purple,Levitate,Neutralizing Gas,Stench,1,0,0,1.2,9.5,65,90,120,85,70,60,490
111,1,1111,Rhyhorn,Ground,Rock,Grey,Lightning Rod,Rock Head,Reckless,1,0,0,1,115,80,85,95,30,30,25,345
112,1,1121,Rhydon,Ground,Rock,Grey,Lightning Rod,Rock Head,Reckless,1,0,0,1.9,120,105,130,120,45,45,40,485
118,1,1181,Goldeen,Water,,Red,Swift Swim,Water Veil,Lightning Rod,1,0,0,0.6,15,45,67,60,35,50,63,320
122,1,1221,Mr. Mime,Psychic,Fairy,Pink,Soundproof,Filter,Technician,1,0,0,1.3,54.5,40,45,65,100,120,90,460
129,1,1291,Magikarp,Water,,Red,Swift Swim,,Rattled,1,0,0,0.9,10,20,10,55,15,20,80,200
130,1,1301,Gyarados,Water,Flying,Blue,Intimidate,,Moxie,1,0,0,6.5,235,95,125,79,60,100,81,540
132,1,1321,Ditto,Normal,,Purple,Limber,,Imposter,1,0,0,0.3,4,48,48,48,48,48,48,288
133,1,1331,Eevee,Normal,,Brown,Run Away,Adaptability,Anticipation,1,0,0,0.3,6.5,55,55,50,45,65,55,325
163,1,1631,Hoothoot,Normal,Flying,Brown,Insomnia,Keen Eye,Tinted Lens,2,0,0,0.7,21.2,60,30,30,36,56,50,262
164,1,1641,Noctowl,Normal,Flying,Brown,Insomnia,Keen Eye,Tinted Lens,2,0,0,1.6,40.8,100,50,50,86,96,70,452
170,1,1701,Chinchou,Water,Electric,Blue,Volt Absorb,Illuminate,Water Absorb,2,0,0,0.5,12,75,38,38,56,56,67,330
171,1,1711,Lanturn,Water,Electric,Blue,Volt Absorb,Illuminate,Water Absorb,2,0,0,1.2,22.5,125,58,58,76,76,67,460
175,1,1751,Togepi,Fairy,,White,Hustle,Serene Grace,Super Luck,2,0,0,0.3,1.5,35,20,65,40,65,20,245
177,1,1771,Natu,Psychic,Flying,Green,Synchronize,Early Bird,Magic Bounce,2,0,0,0.2,2,40,50,45,70,45,70,320
178,1,1781,Xatu,Psychic,Flying,Green,Synchronize,Early Bird,Magic Bounce,2,0,0,1.5,15,65,75,70,95,70,95,470
185,1,1851,Sudowoodo,Rock,,Brown,Sturdy,Rock Head,Rattled,2,0,0,1.2,38,70,100,115,30,65,30,410
194,1,1941,Wooper,Water,Ground,Blue,Damp,Water Absorb,Unaware,2,0,0,0.4,8.5,55,45,45,25,25,15,210
195,1,1951,Quagsire,Water,Ground,Blue,Damp,Water Absorb,Unaware,2,0,0,1.4,75,95,85,85,65,65,35,430
202,1,2021,Wobbuffet,Psychic,,Blue,Shadow Tag,,Telepathy,2,0,0,1.3,28.5,190,33,58,33,58,33,405
211,1,2111,Qwilfish,Water,Poison,Grey,Poison Point,Swift Swim,Intimidate,2,0,0,0.5,3.9,65,95,85,55,55,85,440
213,1,2131,Shuckle,Bug,Rock,Yellow,Sturdy,Gluttony,Contrary,2,0,0,0.6,20.5,20,10,230,10,230,5,505
215,1,2151,Sneasel,Dark,Ice,Black,Inner Focus,Keen Eye,Pickpocket,2,0,0,0.9,28,55,95,55,35,75,115,430
220,1,2201,Swinub,Ice,Ground,Brown,Oblivious,Snow Cloak,Thick Fat,2,0,0,0.4,6.5,50,50,40,30,30,50,250
221,1,2211,Piloswine,Ice,Ground,Brown,Oblivious,Snow Cloak,Thick Fat,2,0,0,1.1,55.8,100,100,80,60,60,50,450
222,1,2221,Corsola,Water,Rock,Pink,Hustle,Natural Cure,Regenerator,2,0,0,0.6,5,65,55,95,65,95,35,410
223,1,2231,Remoraid,Water,,Grey,Hustle,Sniper,Moody,2,0,0,0.6,12,35,65,35,65,35,65,300
224,1,2241,Octillery,Water,,Red,Suction Cups,Sniper,Moody,2,0,0,0.9,28.5,75,105,75,105,75,45,480
225,1,2251,Delibird,Ice,Flying,Red,Vital Spilit,Hustle,Insomnia,2,0,0,0.9,16,45,55,45,65,45,75,330
226,1,2261,Mantine,Water,Flying,Purple,Swift Swim,Water Absorb,Water Veil,2,0,0,2.1,220,85,40,70,80,140,70,485
236,1,2361,Tyrogue,Fighting,,Purple,Guts,Steadfast,Vital Spilit,2,0,0,0.7,21,35,35,35,35,35,35,210
237,1,2371,Hitmontop,Fighting,,Brown,Intimidate,Technician,Steadfast,2,0,0,1.4,48,50,95,95,35,110,70,455
246,1,2461,Larvitar,Rock,Ground,Green,Guts,,Sand Veil,2,0,0,0.6,72,50,64,50,45,50,41,300
247,1,2471,Pupitar,Rock,Ground,Grey,Shed Skin,,,2,0,0,1.2,152,70,84,70,65,70,51,410
263,1,2631,Zigzagoon,Normal,,Brown,Pickup,Gluttony,Quick Feet,3,0,0,0.4,17.5,38,30,41,30,41,60,240
264,1,2641,Linoone,Normal,,White,Pickup,Gluttony,Quick Feet,3,0,0,0.5,32.5,78,70,61,50,61,100,420
270,1,2701,Lotad,Water,Grass,Green,Swift Swim,Rain Dish,Own Tempo,3,0,0,0.5,2.6,40,30,30,40,50,30,220
271,1,2711,Lombre,Water,Grass,Green,Swift Swim,Rain Dish,Own Tempo,3,0,0,1.2,32.5,60,50,50,60,70,50,340
273,1,2731,Seedot,Grass,,Brown,Chlorophyll,Early Bird,Pickpocket,3,0,0,0.5,4,40,40,50,30,30,30,220
274,1,2741,Nuzleaf,Grass,Dark,Brown,Chlorophyll,Early Bird,Pickpocket,3,0,0,1,28,70,70,40,60,40,60,340
278,1,2781,Wingull,Water,Flying,White,Keen Eye,Hydration,Rain Dish,3,0,0,0.6,9.5,40,30,30,55,30,85,270
279,1,2791,Pelipper,Water,Flying,Yellow,Keen Eye,Drizzle,Rain Dish,3,0,0,1.2,28,60,50,100,95,70,65,440
280,1,2801,Ralts,Psychic,Fairy,White,Synchronize,Trace,Telepathy,3,0,0,0.4,6.6,28,25,25,45,35,40,198
282,1,2821,Gardevoir,Psychic,Fairy,White,Synchronize,Trace,Telepathy,3,0,0,1.6,48.4,68,65,65,125,115,80,518
290,1,2901,Nincada,Bug,Ground,Grey,Compound Eyes,,Run Away,3,0,0,0.5,5.5,31,45,90,30,30,40,266
291,1,2911,Ninjask,Bug,Flying,Yellow,Speed Boost,,Infiltrator,3,0,0,0.8,12,61,90,45,50,50,160,456
302,1,3021,Sableye,Dark,Ghost,Purple,Keen Eye,Stall,Prankster,3,0,0,0.5,11,50,75,75,65,65,50,380
303,1,3031,Mawile,Steel,Fairy,Black,Hyper Cutter,Intimidate,Sheer Force,3,0,0,0.6,11.5,50,85,85,55,55,50,380
309,1,3091,Electrike,Electric,,Green,Static,Lightning Rod,Minus,3,0,0,0.6,15.2,40,45,40,65,40,65,295
310,1,3101,Manectric,Electric,,Yellow,Static,Lightning Rod,Minus,3,0,0,1.5,40.2,70,75,60,105,60,105,475
315,1,3151,Roselia,Grass,Poison,Green,Natural Cure,Poison Point,Leaf Guard,3,0,0,0.3,2,50,60,45,100,80,65,400
324,1,3241,Torkoal,Fire,,Brown,White Smoke,Drought,Shell Armor,3,0,0,0.5,80.4,70,85,140,85,70,20,470
328,1,3281,Trapinch,Ground,,Brown,Hyper Cutter,Arena Trap,Sheer Force,3,0,0,0.7,15,45,100,45,45,45,10,290
330,1,3301,Flygon,Ground,Dragon,Green,Levitate,,,3,0,0,2,82,80,100,80,80,80,100,520
337,1,3371,Lunatone,Rock,Psychic,Yellow,Levitate,,,3,0,0,1,168,90,55,65,95,85,70,460
338,1,3381,Solrock,Rock,Psychic,Red,Levitate,,,3,0,0,1.2,154,90,95,85,55,65,70,460
339,1,3391,Barboach,Water,Ground,Grey,Oblivious,Anticipation,Hydration,3,0,0,0.4,1.9,50,48,43,46,41,60,288
341,1,3411,Corphish,Water,,Red,Hyper Cutter,Shell Armor,Adaptability,3,0,0,0.6,11.5,43,80,65,50,35,35,308
342,1,3421,Crawdaunt,Water,Dark,Red,Hyper Cutter,Shell Armor,Adaptability,3,0,0,1.1,32.8,63,120,85,90,55,55,468
343,1,3431,Baltoy,Ground,Psychic,Brown,Levitate,,,3,0,0,0.5,21.5,40,40,55,40,70,55,300
344,1,3441,Claydol,Ground,Psychic,Black,Levitate,,,3,0,0,1.5,108,60,70,105,70,120,75,500
355,1,3551,Duskull,Ghost,,Black,Levitate,,Frisk,3,0,0,0.8,15,20,40,90,30,90,25,295
361,1,3611,Snorunt,Ice,,Grey,Inner Focus,Ice Body,Moody,3,0,0,0.7,16.8,50,50,50,50,50,50,300
362,1,3621,Glalie,Ice,,Grey,Inner Focus,Ice Body,Moody,3,0,0,1.5,256.5,80,80,80,80,80,80,480
406,1,4061,Budew,Grass,Poison,Green,Natural Cure,Poison Point,Leaf Guard,4,0,0,0.2,1.2,40,30,35,50,70,55,280
415,1,4151,Combee,Bug,Flying,Yellow,Honey Gather,,Hustle,4,0,0,0.3,5.5,30,30,42,30,42,70,244
420,1,4201,Cherubi,Grass,,Pink,Chlorophyll,,,4,0,0,0.4,3.3,45,35,45,62,53,35,275
422,1,4221,Shellos,Water,,Purple,Sticky Hold,Storm Drain,Sand Force,4,0,0,0.3,6.3,76,48,48,57,62,34,325
423,1,4231,Gastrodon,Water,Ground,Purple,Sticky Hold,Storm Drain,Sand Force,4,0,0,0.9,29.9,111,83,68,92,82,39,475
425,1,4251,Drifloon,Ghost,Flying,Purple,Aftermath,Unburden,Flare Boost,4,0,0,0.4,1.2,90,50,34,60,44,70,348
426,1,4261,Drifblim,Ghost,Flying,Purple,Aftermath,Unburden,Flare Boost,4,0,0,1.2,15,150,80,44,90,54,80,498
434,1,4341,Stunky,Poison,Dark,Purple,Stench,Aftermath,Keen Eye,4,0,0,0.4,19.2,63,63,47,41,41,74,329
436,1,4361,Bronzor,Steel,Psychic,Green,Levitate,Heatproof,Heavy Metal,4,0,0,0.5,60.5,57,24,86,24,86,23,300
437,1,4371,Bronzong,Steel,Psychic,Green,Levitate,Heatproof,Heavy Metal,4,0,0,1.3,187,67,89,116,79,116,33,500
438,1,4381,Bonsly,Rock,,Brown,Sturdy,Rock Head,Rattled,4,0,0,0.5,15,50,80,95,10,45,10,290
447,1,4471,Riolu,Fighting,,Blue,Steadfast,Inner Focus,Prankster,4,0,0,0.7,20.2,40,70,40,35,40,60,285
449,1,4491,Hippopotas,Ground,,Brown,Sand Stream,,Sand Force,4,0,0,0.8,49.5,68,72,78,38,42,32,330
450,1,4501,Hippowdon,Ground,,Brown,Sand Stream,,Sand Force,4,0,0,2,300,108,112,118,68,72,47,525
451,1,4511,Skorupi,Poison,Bug,Purple,Battle Armor,Sniper,Keen Eye,4,0,0,0.8,12,40,50,90,30,55,65,330
452,1,4521,Drapion,Poison,Dark,Purple,Battle Armor,Sniper,Keen Eye,4,0,0,1.3,61.5,70,90,110,60,75,95,500
453,1,4531,Croagunk,Poison,Fighting,Blue,Anticipation,Dry Skin,Poison Touch,4,0,0,0.7,23,48,61,40,61,40,50,300
458,1,4581,Mantyke,Water,Flying,Blue,Swift Swim,Water Absorb,Water Veil,4,0,0,1,65,45,20,50,60,120,50,345
459,1,4591,Snover,Grass,Ice,White,Snow Warning,,Soundproof,4,0,0,1,50.5,60,62,50,62,60,40,334
460,1,4601,Abomasnow,Grass,Ice,White,Snow Warning,,Soundproof,4,0,0,2.2,135.5,90,92,75,92,85,60,494
468,1,4681,Togekiss,Fairy,Flying,White,Hustle,Serene Grace,Super Luck,4,0,0,1.5,38,85,50,95,120,115,80,545
479,1,4791,Rotom,Electric,Ghost,Red,Levitate,,,4,0,0,0.3,0.3,50,50,77,95,77,91,440
509,1,5091,Purrloin,Dark,,Purple,Limber,Unburden,Prankster,5,0,0,0.4,10.1,41,50,37,50,37,66,281
510,1,5101,Liepard,Dark,,Purple,Limber,Unburden,Prankster,5,0,0,1.1,37.5,64,88,50,88,50,106,446
517,1,5171,Munna,Psychic,,Pink,Forewarn,Synchronize,Telepathy,5,0,0,0.6,23.3,76,25,45,67,55,24,292
519,1,5191,Pidove,Normal,Flying,Grey,Big Pecks,Super Luck,Rivalry,5,0,0,0.3,2.1,50,55,50,36,30,43,264
520,1,5201,Tranquill,Normal,Flying,Grey,Big Pecks,Super Luck,Rivalry,5,0,0,0.6,15,62,77,62,50,42,65,358
521,1,5211,Unfezant,Normal,Flying,Grey,Big Pecks,Super Luck,Rivalry,5,0,0,1.2,29,80,115,80,65,55,93,488
524,1,5241,Roggenrola,Rock,,Blue,Sturdy,Weak Armor,Sand Force,5,0,0,0.4,18,55,75,85,25,25,15,280
525,1,5251,Boldore,Rock,,Blue,Sturdy,Weak Armor,Sand Force,5,0,0,0.9,102,70,105,105,50,40,20,390
527,1,5271,Woobat,Psychic,Flying,Blue,Unaware,Klutz,Simple,5,0,0,0.4,2.1,65,45,43,55,43,72,323
529,1,5291,Drilbur,Ground,,Grey,Sand Rush,Sand Force,Mold Breaker,5,0,0,0.3,8.5,60,85,40,30,45,68,328
530,1,5301,Excadrill,Ground,Steel,Grey,Sand Rush,Sand Force,Mold Breaker,5,0,0,0.7,40.4,110,135,60,50,65,88,508
532,1,5321,Timburr,Fighting,,Grey,Guts,Sheer Force,Iron Fist,5,0,0,0.6,12.5,75,80,55,25,35,35,305
533,1,5331,Gurdurr,Fighting,,Grey,Guts,Sheer Force,Iron Fist,5,0,0,1.2,40,85,105,85,40,50,40,405
535,1,5351,Tympole,Water,,Blue,Swift Swim,Hydration,Water Absorb,5,0,0,0.5,4.5,50,50,40,50,40,64,294
536,1,5361,Palpitoad,Water,Ground,Blue,Swift Swim,Hydration,Water Absorb,5,0,0,0.8,17,75,65,55,65,55,69,384
537,1,5371,Seismitoad,Water,Ground,Blue,Swift Swim,Poison Touch,Water Absorb,5,0,0,1.5,62,105,95,75,85,75,74,509
538,1,5381,Throh,Fighting,,Red,Guts,Inner Focus,Mold Breaker,5,0,0,1.3,55.5,120,100,85,30,85,45,465
539,1,5391,Sawk,Fighting,,Blue,Sturdy,Inner Focus,Mold Breaker,5,0,0,1.4,51,75,125,75,30,75,85,465
546,1,5461,Cottonee,Grass,Fairy,Green,Prankster,Infiltrator,Chlorophyll,5,0,0,0.3,0.6,40,27,60,37,50,66,280
550,1,5501,Basculin,Water,,Green,Reckless,Adaptability,Mold Breaker,5,0,0,1,18,70,92,65,80,55,98,460
554,1,5541,Darumaka,Fire,,Red,Hustle,,Inner Focus,5,0,0,0.6,37.5,70,90,45,15,45,50,315
556,1,5561,Maractus,Grass,,Green,Water Absorb,Chlorophyll,Storm Drain,5,0,0,1,28,75,86,67,106,67,60,461
557,1,5571,Dwebble,Bug,Rock,Red,Sturdy,Shell Armor,Weak Armor,5,0,0,0.3,14.5,50,65,85,35,35,55,325
558,1,5581,Crustle,Bug,Rock,Red,Sturdy,Shell Armor,Weak Armor,5,0,0,1.4,200,70,105,125,65,75,45,485
559,1,5591,Scraggy,Dark,Fighting,Yellow,Shed Skin,Moxie,Intimidate,5,0,0,0.6,11.8,50,75,70,35,70,48,348
561,1,5611,Sigilyph,Psychic,Flying,Black,Wonder Skin,Magic Guard,Tinted Lens,5,0,0,1.4,14,72,58,80,103,80,97,490
